Item,Function,Units/Setup
"Black mosquito head net mesh big size, 6.69"" x 3.94"" x 1.38""",Flight-Cage,2
"Wooden embroidery hoop, 14""",Flight-Cage,4
"Wooden embroidery hoop,  8""",Flight-Cage,2
"Hardwood plywood, 1/2"" x 4' x 8'",Structure,0.25
"Steel threaded rod,  3/8""-16 x 2'",Structure,6
"Steel hex nut, 3/8""-16",Structure,36
"Steel washer, 3/8""",Structure,36
"No See Um fiberglass mesh screening, 36"" x 25'",Cover,0.04
"Falcon tube, 50mL",Water,2
"Braided cotton roll, 4""",Water,2
Sponge,Water,2
Raspberry Pi Zero W,Computer,2
"Raspberry Pi Zero W camera module night vision w/ 3.6mm, 2pcs IR sensor LED light",Camera,2
SanDisk Ultra 32GB microSD card,Memory,2
Micro USB charging cord/block,Power,2
